url_length,hostname_length,subdomain_depth,has_double_slash_in_path,num_dots,num_hyphens,num_at_symbols,num_tildes,num_underscores,num_percents,num_ampersands,num_query_params,num_slashes,https_in_hostname,http_in_path,has_insecure_forms,has_submit_email,has_iframe,has_popup,abnormal_form_action,has_ip_address,domain_in_subdomain,domain_in_path,has_random_domain,has_prefix_suffix,brand_in_subdomain,brand_in_path,domain_in_brand,frequent_domain_mismatch,missing_title,external_favicon,external_link_ratio,external_resource_ratio,null_self_redirect_ratio,fake_link_statusbar,right_click_disabled,popup_window,ratio_ext_hyperlinks,ratio_ext_media,char_repeat_ratio,dns_record_exists,domain_registration_length,domain_age,web_traffic_rank,page_rank,label
66,16,2,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0.181818182,0,0,0,926,5647,1040,6,0
40,11,2,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.076923077,0,0,0,277,1184,0,0,1
48,16,1,0,1,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.084745763,0,0,0,0,0,0.084745763,0,0,0,541,3476,4672316,4,0
126,50,3,0,4,1,0,0,2,0,2,1,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,3993,5707171,0,1
41,32,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.7142857140000001,0,0,0,0,0,0.7142857140000001,0,0,0,373,7296,0,5,1
36,27,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026086957,0,0,0,0,0,0.026086957,0,3,0,315,6989,2203390,4,0
72,24,2,0,2,7,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.352941176,6.25,0,0,0,0,0.352941176,6.25,5,0,634,4845,5964,5,0
68,42,3,0,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,3993,5707171,0,1
163,14,3,0,4,9,1,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.516129032,0,0,0,0,0,0.516129032,0,14,0,0,-1,0,0,1
26,18,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,5.555555556,0,0,0,0,0.052631579,5.555555556,3,0,290,1170,390047,4,0
64,17,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.611111111,0,0,0,0,0,0.611111111,0,3,0,224,1237,0,1,1
36,28,3,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.80952381,80,0,0,0,0,0.80952381,80,1,0,217,5627,0,5,1
61,14,2,0,2,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,100,0,0,0,0,1,100,1,0,251,3767,9264543,0,1
66,17,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.457142857,100,0,0,0,0,0.457142857,100,3,0,911,9316,13,7,0
35,26,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,100,0,0,0,0,0.625,100,3,0,125,7849,0,4,0
113,24,3,0,5,0,0,0,2,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.6882494,2.564102564,0,0,0,0,0.6882494,2.564102564,4,0,97,3920,0,2,1
41,34,2,0,2,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.518518519,0,0,0,0,0,0.518518519,0,3,0,1049,5159,0,8,0
23,12,2,0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.125,5.263157895,0,0,0,0,0.125,5.263157895,3,0,78,-1,74862,3,0
31,24,2,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267759563,0,0,0,0,0,0.267759563,0,2,0,248,5230,5828226,7,0
84,30,2,0,2,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3125,0,1,1
29,17,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,5026,544886,4,1
98,26,2,0,2,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.454545455,0,0,0,0,0,0.454545455,0,4,0,257,2300,0,2,1
15,8,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0.028571429,0,1,0,0,2580,1671658,2,0
65,22,2,0,2,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060377358,50,0,0,0,0,0.060377358,50,3,0,3305,5825,7698,7,0
131,27,2,0,2,1,0,0,4,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.884615385,0,0,0,0,0,0.884615385,0,6,0,381,8019,0,4,1
50,23,2,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.258064516,0,0,0,0,0,0.258064516,0,4,0,197,7839,607,6,0
51,32,2,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,100,1,0,250,2306,0,0,1
45,11,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.023809524,19.04761905,0,1,0,0,0.023809524,19.04761905,4,0,0,-1,6431,6,0
159,14,2,0,2,0,0,0,0,0,1,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.076923077,0,4,0,325,1500,0,0,1
44,22,2,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.046511628,0,0,0,0,0,0.046511628,0,3,0,1278,2739,11657,6,1
103,19,3,0,3,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15625,0,0,0,0,0,0.15625,0,2,0,231,134,1508317,2,1
46,20,3,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,517,7802,0,5,1
45,16,2,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.079051383,0,0,0,0,0,0.079051383,0,0,0,902,7133,12,7,0
51,26,3,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.384615385,61.53846154,0,0,0,0,0.384615385,61.53846154,4,0,137,1690,0,2,1
38,19,3,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233695652,18.18181818,0,0,0,0,0.233695652,18.18181818,4,0,237,1588,0,0,1
81,27,2,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.033333333,20,0,0,0,0,0.033333333,20,8,0,77,5767,0,2,1
112,31,2,0,2,10,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.385542169,90.90909091,0,0,0,0,0.385542169,90.90909091,0,0,133,7615,2190,5,0
39,16,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.259259259,0,0,0,0,0,0.259259259,0,1,0,2974,8348,1,10,1
99,15,2,0,2,2,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.62962963,100,0,0,0,0,0.62962963,100,2,0,2974,8348,1,10,1
45,27,2,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025423729,0,0,0,0,0,0.025423729,0,3,0,315,6989,2203390,4,0
60,35,3,0,5,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.80952381,80,0,0,0,0,0.80952381,80,3,0,228,5615,0,5,1
74,19,3,0,3,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1630,9327,4053,5,0
61,18,3,0,3,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0.055555556,0,3,0,92,3561,6010,4,0
40,32,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,230,5614,0,5,1
52,24,3,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,148,5408,0,1,1
88,24,3,0,7,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,100,0,0,0,0,1,100,3,0,2976,8346,1,10,1
74,12,2,0,2,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011976048,0,0,0,0,0,0.011976048,0,2,0,3253,5877,24587,5,0
46,16,2,0,2,1,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.058892815,33.33333333,0,0,0,0,0.058892815,33.33333333,4,0,288,2633,827,7,0
54,17,3,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,792,6512,1680566,4,0
54,21,1,0,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,3,0,0,-1,0,0,1
38,16,2,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.062337662,0,0,0,0,0,0.062337662,0,0,0,901,7134,12,7,0
67,15,2,0,2,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.382075472,0,0,0,0,0,0.382075472,0,6,0,102,9394,1294,6,0
62,13,3,0,5,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5044,0,0,1
59,17,3,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1078,2573,0,0,1
57,38,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,1246,7048,4,1
32,12,1,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.227272727,33.33333333,0,0,0,0,0.227272727,33.33333333,2,0,50,2872,8400,3,0
46,25,2,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,212,4537,0,1,1
37,16,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.035175879,0,0,0,0,0,0.035175879,0,0,0,902,7133,12,7,0
36,29,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.928571429,0,0,0,0,0,0.928571429,0,1,0,374,7295,0,5,1
52,18,2,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,973,8238037,2,1
32,24,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,8,0,374,7296,0,5,1
34,11,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.48,0,0,0,0,0,0.48,0,2,0,179,7491,63,10,0
27,19,3,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.787878788,100,0,0,0,0,0.787878788,100,3,0,413,-1,479698,2,0
92,22,2,0,2,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-1,0,1,1
102,12,2,0,2,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.135135135,0,0,0,0,0,0.135135135,0,3,0,323,8442,43102,5,0
32,23,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.453038674,88.37209302,0,0,0,0,0.453038674,88.37209302,3,0,2470,2277,2426481,3,0
29,20,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308641975,0,0,0,0,0,0.308641975,0,4,0,27,1800,0,3,0
119,24,3,0,4,1,0,0,2,0,0,1,9,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.153061224,0,0,0,0,0,0.153061224,0,3,0,1011,-1,0,4,1
59,21,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031007752,4.87804878,0,0,0,0,0.031007752,4.87804878,4,0,65,3952,3862928,4,0
54,19,2,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112244898,50,0,0,0,0,0.112244898,50,1,0,258,4855,128132,4,0
151,10,3,0,3,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.488888889,0,0,0,0,0,0.488888889,0,10,0,201,166,0,0,1
84,25,3,0,3,5,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,100,0,0,0,1,0.5,100,6,0,654,4093,52436,4,0
55,10,3,0,3,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.195121951,50,0,0,0,0,0.195121951,50,0,0,0,-1,1080262,2,1
18,9,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.038901602,50,0,0,0,0,0.038901602,50,0,0,0,-1,294723,2,0
39,16,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.671532847,100,0,0,0,0,0.671532847,100,4,0,2808,8516,8,10,0
28,19,2,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.064220183,13.33333333,0,0,0,0,0.064220183,13.33333333,3,0,347,7689,381695,3,0
32,16,3,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.290322581,0,0,0,0,0,0.290322581,0,4,0,295,5913,86462,5,0
16,9,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.230215827,0,0,0,0,0,0.230215827,0,0,0,0,-1,2346124,2,0
23,12,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,241,4141,0,0,1
29,21,3,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.961538462,100,0,0,0,0,0.961538462,100,3,0,85,4664,0,4,0
29,20,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080645161,0,0,0,0,0,0.080645161,0,3,0,49,317,0,0,1
41,15,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,4,0,2009,4566,44445,5,0
22,6,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,-1,3523,9,1
52,14,3,0,3,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,438,657,0,0,1
38,20,3,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-1,9412550,2,1
30,21,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.597402597,100,0,0,0,0,0.597402597,100,3,0,0,-1,0,2,0
76,50,3,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,3993,5707171,0,1
430,13,3,1,24,0,1,0,18,0,9,2,21,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0.571428571,0,0,0,0,0,0.571428571,0,10,1,0,-1,0,0,1
37,19,2,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078947368,0,0,0,0,0,0.078947368,0,0,0,291,4823,212735,4,0
73,23,3,0,3,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245901639,50,0,0,0,0,0.245901639,50,3,0,277,11046,545,6,0
56,15,2,0,2,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,347,2939,0,0,1
70,13,1,0,1,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.211538462,100,0,0,0,0,0.211538462,100,2,0,2825,3385,12180,5,0
70,20,3,0,3,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,517,7802,0,5,1
52,19,2,0,2,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.120481928,100,0,0,0,0,0.120481928,100,3,0,120,-1,241891,5,0
31,22,2,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.916666667,0,0,0,0,0,0.916666667,0,3,0,113,5366,3913090,2,0
90,19,3,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.384615385,80,0,0,0,0,0.384615385,80,12,0,79,2112,0,1,1
45,15,3,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.06031746,3.225806452,0,0,0,0,0.06031746,3.225806452,1,0,150,7156,2272,3,0
55,20,3,0,3,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1558441559999999,10,0,0,0,0,0.1558441559999999,10,4,0,1164,7602,145276,4,0
65,12,3,0,3,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,230,135,0,0,1
41,33,2,0,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.7771739129999999,100,0,0,0,0,0.7771739129999999,100,4,0,644,1546,4669,2,1
71,25,2,0,2,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.7113402059999999,93.33333333,0,0,0,0,0.7113402059999999,93.33333333,0,0,358,7,0,0,1
83,16,2,0,2,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,2973,8348,1,10,1
73,18,1,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,321,-1,0,0,1
44,30,2,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,182,184,0,0,1
114,16,3,1,4,1,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,154,2403,819233,3,1
127,50,3,0,4,1,0,0,2,0,2,1,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,3992,5697976,0,1
99,20,3,0,4,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40625,0,0,0,0,0,0.40625,0,4,0,112,254,0,0,1
56,20,2,0,2,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.184210526,0,0,0,0,0,0.184210526,0,3,0,169,6041,0,1,1
51,17,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.204081633,18.75,0,0,0,0,0.204081633,18.75,3,0,1847,7284,2788,7,0
51,14,3,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,1
40,24,2,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.020408163,0,0,0,0,0,0.020408163,0,3,0,0,-1,1166803,3,0
