id,url_length,hostname_length,path_length,query_length,subdomain_depth,path_depth,num_dots,num_hyphens,num_at_symbols,num_percents,num_numeric_chars,uses_https,has_insecure_forms,has_iframe,abnormal_form_action,has_ip_address,external_favicon,external_link_ratio,ratio_ext_hyperlinks,url_entropy,label
20,46,19,15,0,1,1,3,2,0,0,0,1,1,1,1,0,1,0.036036,0.036036,4.370963,0
21,70,46,16,0,0,2,2,3,0,0,0,1,0,0,0,0,1,0.25,0.25,4.23518,1
22,29,12,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,1,4.142295,1
23,89,21,31,12,5,4,6,0,0,0,14,0,0,0,0,0,0,0,0,4.59904,1
24,86,11,53,0,1,3,2,3,0,0,32,1,0,0,0,0,0,0,0,4.811034,1
25,33,20,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1,0.079545,0.079545,3.945465,0
26,47,9,21,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0.944444,0.944444,4.193436,0
27,41,15,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0.956522,0.956522,4.101846,1
28,73,20,45,0,0,2,3,3,0,0,0,1,0,1,0,0,0,0,0,4.14939,0
29,62,19,31,0,1,3,3,1,0,0,6,1,0,0,0,0,1,0.576923,0.576923,4.315117,0
30,56,13,27,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0.118397,0.118397,4.403262,0
31,51,17,1,0,1,0,2,0,0,0,0,1,1,1,1,0,0,0.602564,0.602564,4.290004,0
32,70,23,39,0,0,1,1,6,0,0,0,1,1,0,1,0,1,0.252252,0.252252,4.29329,0
33,63,17,34,0,1,1,4,2,0,0,7,1,0,1,0,0,1,0.130435,0.130435,4.471028,0
34,96,9,75,0,1,3,2,10,0,0,6,1,0,0,0,0,0,0,0,4.527774,0
35,24,15,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.063584,0.063584,3.573935,0
36,54,11,1,0,1,0,2,2,0,0,2,0,0,0,0,0,1,0,0,4.465096,1
37,95,11,63,9,1,6,3,2,1,0,0,0,0,0,0,0,0,0,0,4.559058,1
38,40,12,20,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0.045714,0.045714,4.125071,0
39,27,14,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0.666667,0.666667,4.106377,0
40,37,9,12,0,1,1,3,0,0,0,0,1,1,1,1,0,0,0.597222,0.597222,3.75609,0
41,26,13,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3.950064,1
42,25,12,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0.395604,0.395604,3.863465,0
43,57,21,24,0,1,3,2,1,0,0,0,1,0,1,0,0,1,0.157576,0.157576,4.313533,0
44,63,12,34,0,1,1,2,3,0,0,0,1,0,0,0,0,1,0.34,0.34,4.156594,0
45,116,22,81,0,1,2,3,0,0,0,45,1,0,1,0,0,1,0,0,4.260565,1
46,41,14,20,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4.110737,1
47,36,12,1,0,1,0,2,1,0,0,3,1,0,0,0,0,0,0,0,4.308271,1
48,28,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.352941,0.352941,3.628085,0
49,53,14,27,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0.117647,0.117647,4.284458,0
50,45,17,20,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0.578431,0.578431,4.089199,0
51,30,19,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3.939572,1
52,49,20,21,0,0,1,2,3,0,0,5,1,0,1,0,0,0,0.421053,0.421053,4.459012,0
53,54,11,36,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,3.999871,1
54,58,10,40,0,0,1,1,5,0,0,0,1,0,0,0,0,1,0.072289,0.072289,4.405587,0
55,40,11,17,0,1,1,2,0,0,0,0,1,0,1,0,0,1,0.316456,0.316456,4.053702,0
56,25,12,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3.59327,1
57,78,16,50,0,1,2,4,4,0,0,4,1,0,0,0,0,1,0.172414,0.172414,4.959965,0
58,60,36,17,0,0,2,2,3,0,0,1,0,0,0,0,0,0,0,0,4.058008,1
59,28,10,6,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0.226415,0.226415,3.797903,0
60,55,17,30,0,0,3,2,1,0,0,10,1,0,0,0,0,0,0,0,4.433379,0
61,26,14,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.040816,0.040816,3.92103,0
62,80,9,46,0,2,2,3,1,0,0,21,1,0,0,0,0,0,0,0,4.825796,1
63,54,36,10,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,1,4.268208,1
64,25,7,6,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3.863465,0
65,56,15,14,0,1,2,10,1,0,0,0,1,0,0,0,0,1,0,0,4.146753,1
66,42,9,26,0,0,2,1,4,0,0,4,0,0,0,0,0,0,0,0,4.318046,0
67,72,12,52,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,4.029146,1
68,24,10,1,0,1,0,3,0,0,0,0,1,0,0,0,0,1,1,1,3.542481,0
69,35,21,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4.011585,1
70,29,16,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0.030303,0.030303,3.952303,0
71,67,22,33,0,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,4.327231,0
72,26,13,5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0.042105,0.042105,3.844107,0
73,31,11,13,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,4.103728,1
74,153,10,13,112,1,1,6,0,0,2,10,1,1,0,1,0,0,0.285714,0.285714,4.789366,0
75,93,13,68,0,1,1,2,10,0,0,0,1,1,0,1,0,0,0.232877,0.232877,4.159068,0
76,62,23,27,0,1,1,3,3,0,0,0,1,1,1,1,0,0,0.026786,0.026786,4.15341,0
77,50,17,1,0,1,0,2,3,0,0,7,1,0,0,0,0,1,1,1,4.503465,1
78,51,26,17,0,0,3,2,0,0,0,0,1,0,0,0,0,1,1,1,4.380772,1
79,45,11,22,0,1,2,2,0,0,0,0,1,0,1,0,0,1,0.142857,0.142857,4.094212,0
80,189,14,168,0,0,4,2,3,0,14,36,0,0,0,0,0,0,0,0,4.898498,0
81,60,10,37,0,1,4,3,0,0,0,4,1,0,1,0,0,0,0.484848,0.484848,4.37705,0
82,51,17,1,0,1,0,2,0,0,0,3,1,0,0,0,0,0,1,1,4.078617,1
83,70,12,31,0,1,3,3,3,0,0,6,0,1,0,1,0,1,0.311178,0.311178,4.603426,0
84,50,14,24,0,1,1,2,3,0,0,0,1,0,1,0,0,1,0.208791,0.208791,4.147976,0
85,58,18,28,0,1,1,3,3,0,0,0,1,0,1,0,0,1,0.307692,0.307692,4.215595,0
86,42,20,10,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,4.243159,0
87,45,14,19,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,4.038874,0
88,39,11,7,0,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,4.182337,1
89,88,14,62,0,1,2,3,6,0,0,7,1,0,1,0,0,1,0.194444,0.194444,4.563022,0
90,35,12,15,0,0,3,1,0,0,0,4,1,0,0,0,0,1,0,0,3.85131,0
91,22,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.481715,1
92,95,18,10,54,1,1,3,0,0,3,13,1,1,0,1,0,0,0.06993,0.06993,4.900986,1
93,47,25,10,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0.25,0.25,4.25685,0
94,67,20,40,0,0,5,1,1,0,1,2,0,0,0,0,0,0,0,0,4.383952,1
95,40,15,13,0,1,2,2,0,0,0,0,1,0,0,0,0,1,0.047619,0.047619,3.906198,0
96,97,21,64,0,1,3,2,8,0,0,6,1,0,0,0,0,0,1,1,4.49968,0
97,35,22,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.233333,0.233333,3.84301,0
98,118,19,87,0,1,4,2,12,0,0,4,1,0,1,0,0,0,0.113475,0.113475,4.427205,0
99,49,18,8,0,1,1,2,2,0,0,0,0,1,0,1,0,0,0.909091,0.909091,4.481857,1
100,47,15,10,0,3,1,5,1,0,0,0,1,0,0,0,0,0,0,0,4.214297,1
101,92,17,68,0,0,2,2,7,0,0,2,0,0,0,0,0,0,0,0,4.523951,0
102,23,11,1,0,1,0,2,0,0,0,0,1,1,1,1,0,1,0.5,0.5,3.621176,0
103,64,13,43,0,0,3,1,4,0,0,6,1,0,0,0,0,1,0.610169,0.610169,4.431193,0
104,29,8,1,4,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,4.004364,0
105,43,12,19,0,1,2,2,0,0,0,0,1,1,1,1,0,1,0.161616,0.161616,3.867671,0
106,69,19,39,0,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,4.260364,0
107,72,23,41,0,0,2,1,5,0,0,4,1,1,0,1,0,1,0.122807,0.122807,4.413291,0
108,27,15,1,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0.175676,0.175676,3.884155,0
109,40,12,16,0,1,1,2,0,0,0,0,1,1,0,1,0,1,0.367347,0.367347,4.093943,0
110,25,12,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0.051724,0.051724,3.803074,0
111,31,11,13,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,3.821312,1
112,69,8,19,25,1,3,4,0,0,0,2,1,0,0,0,0,0,0,0,4.697161,1
113,70,14,48,0,0,2,1,7,0,0,1,1,0,0,0,0,1,0.152174,0.152174,4.332277,0
114,40,17,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,1,3.783783,1
115,71,14,25,0,1,2,2,1,0,0,0,1,1,1,1,0,0,0.367521,0.367521,4.035763,0
116,30,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.91108,1
117,79,18,49,0,1,1,2,7,0,0,1,1,1,0,1,0,1,0.204301,0.204301,4.329224,0
118,61,10,43,0,0,2,5,0,0,0,2,1,0,0,0,0,1,1,1,4.142318,1
119,127,15,11,0,4,1,6,5,0,0,7,1,0,0,0,0,1,0.75,0.75,4.495625,1
120,55,9,24,0,2,2,4,1,0,0,3,1,1,0,1,0,0,1,1,4.294552,1
121,30,18,4,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0.092784,0.092784,3.923231,0
122,61,24,25,0,1,2,2,1,0,0,0,1,1,1,1,0,1,0.11039,0.11039,4.223279,0
123,37,7,1,0,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,4.044064,1
124,62,21,29,0,1,2,2,2,0,0,0,1,0,0,0,0,1,0.023256,0.023256,4.409864,0
125,66,16,42,0,0,2,1,4,0,0,0,1,0,0,0,0,1,0.108108,0.108108,4.344197,0
126,95,20,63,0,1,2,3,9,0,0,0,1,0,1,0,0,0,0.037671,0.037671,4.41277,0
127,63,19,32,0,1,2,2,2,0,0,0,1,0,0,0,0,0,0.02,0.02,4.412147,0
128,62,8,42,0,1,2,3,3,0,0,1,1,1,0,1,0,0,0.059406,0.059406,4.403568,0
129,64,19,33,0,1,1,2,4,0,0,0,1,0,1,0,0,0,0.142857,0.142857,3.763552,0
130,86,17,57,0,1,6,2,2,0,0,10,1,0,0,0,0,1,0.043011,0.043011,4.707503,0
131,20,7,5,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,3.784184,1
132,47,12,23,0,1,2,4,1,0,0,5,1,1,1,1,0,1,0.056911,0.056911,4.210732,0
133,62,14,36,0,1,2,2,3,0,0,3,1,0,1,0,0,0,0.096386,0.096386,4.371052,0
134,61,18,31,0,1,2,2,3,0,0,0,1,0,0,0,0,1,0.231788,0.231788,4.278377,0
135,22,13,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.229167,0.229167,3.720129,0
136,55,12,22,8,1,2,3,0,0,0,6,1,0,1,0,0,0,0.151786,0.151786,4.492381,0
137,73,13,17,30,1,2,2,2,0,0,0,1,0,1,0,0,1,0.147541,0.147541,4.561495,0
138,27,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.633974,1
139,59,17,34,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0.942308,0.942308,4.14667,1
140,75,14,49,0,1,2,2,6,0,0,0,1,0,1,0,0,0,0.090909,0.090909,4.346705,0
141,51,17,18,0,1,1,3,1,0,0,3,1,0,0,0,0,0,1,1,4.112643,1
142,36,23,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0.060606,0.060606,4.020367,0
143,80,13,54,0,1,6,2,2,0,0,0,1,0,0,0,0,0,0.428571,0.428571,4.289186,0
144,42,13,17,0,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,3.887711,0
145,55,17,1,0,1,0,2,0,0,0,9,1,0,0,0,0,1,1,1,4.402297,1
146,82,15,55,0,1,2,3,4,0,0,5,1,0,0,0,0,0,0.082873,0.082873,4.479656,0
147,37,9,17,0,1,2,2,1,0,0,1,0,0,1,0,0,1,0,0,4.095419,1
148,77,11,1,0,3,0,4,4,0,0,6,0,0,0,0,0,0,0,0,4.569552,1
149,68,15,33,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4.120572,1
150,50,17,25,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,4.671272,1
151,40,16,16,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0.275362,0.275362,4.027567,0
152,35,11,16,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0.081818,0.081818,4.09315,0
153,32,7,1,0,1,0,2,2,0,0,0,0,1,1,1,0,1,0.34,0.34,4.116729,1
154,24,11,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.259259,0.259259,3.522055,0
155,66,13,41,0,1,4,2,3,0,0,0,1,0,1,0,0,0,0.060847,0.060847,4.238719,0
156,72,15,45,0,1,3,3,0,0,0,9,1,0,1,0,0,0,0,0,4.70939,0
157,44,13,20,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0.270619,0.270619,4.095431,0
158,91,21,62,0,0,1,2,7,0,0,0,1,1,1,1,0,1,0.030303,0.030303,4.312626,0
159,58,17,29,0,1,1,2,3,0,0,0,1,1,0,1,0,1,0.505376,0.505376,4.224047,0
160,55,19,15,13,0,2,2,1,0,0,9,0,0,0,0,0,1,0.8,0.8,4.526459,1
161,55,16,27,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0.020761,0.020761,4.002297,0
162,105,24,70,0,1,4,2,2,0,0,0,0,0,1,0,0,0,0.028571,0.028571,4.292492,0
163,83,19,52,0,1,2,2,6,0,0,0,1,1,1,1,0,1,0.032468,0.032468,4.249813,0
164,46,6,22,0,1,2,2,2,0,0,4,1,0,0,0,0,0,0.204082,0.204082,4.501398,0
165,136,10,111,0,1,7,2,15,0,0,19,1,1,0,1,0,0,0.766667,0.766667,4.801675,0
166,27,14,1,0,1,0,2,0,0,0,1,1,1,1,1,0,1,0.1,0.1,3.912114,0
167,101,16,23,53,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,5.336201,1
168,53,10,35,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0.012821,0.012821,4.416903,0
169,106,12,7,74,1,1,4,2,0,6,18,1,1,0,1,0,1,0.361702,0.361702,4.831384,0
170,121,17,11,0,1,2,2,0,0,0,1,1,1,1,1,0,0,0.034169,0.034169,4.617206,0
171,56,29,20,0,0,1,2,3,0,0,11,0,0,1,0,0,0,0.333333,0.333333,4.565823,1
172,103,14,81,0,0,8,1,0,0,0,20,1,0,0,0,0,0,0,0,4.628438,1
173,39,15,1,10,1,0,2,0,0,0,3,1,0,0,0,0,1,0.061404,0.061404,4.297471,0
174,40,18,10,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,4.106198,0
175,39,13,18,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0.875,0.875,4.048509,1
176,57,9,21,0,3,2,4,0,0,0,16,0,0,0,0,0,0,0,0,4.391856,1
177,42,10,20,0,1,2,2,0,0,0,0,1,1,0,1,0,1,0.210884,0.210884,4.186861,0
178,78,18,49,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0.048544,0.048544,4.341188,0
179,84,20,39,16,0,6,1,0,0,0,12,1,0,0,0,0,0,0,0,4.483058,1
180,132,14,106,0,1,6,2,0,0,2,12,1,1,0,1,0,1,0.075581,0.075581,5.139573,0
181,47,17,18,0,1,2,2,1,0,0,0,1,0,1,0,0,1,0.094118,0.094118,4.291098,0
182,29,16,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.260563,0.260563,4.090234,0
183,54,11,31,0,1,1,2,4,0,0,0,1,0,0,0,0,1,0.133603,0.133603,4.129913,0
184,17,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.337175,1
185,68,13,44,0,1,3,2,4,0,0,0,0,0,1,0,0,0,0.53125,0.53125,4.123889,0
186,60,20,28,0,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,4.344414,1
187,45,9,24,0,1,1,2,4,0,0,0,1,0,1,0,0,1,0.015068,0.015068,4.129982,0
188,68,14,42,0,1,3,2,4,0,0,0,1,0,0,0,0,1,0.104,0.104,4.221481,0
189,55,13,30,0,1,2,3,1,0,0,0,1,0,1,0,0,0,0.146667,0.146667,4.172205,0
190,135,13,89,19,1,6,3,8,0,0,17,1,0,0,0,0,0,0.461538,0.461538,4.732211,0
191,32,12,0,0,1,0,2,0,0,0,4,1,1,0,1,0,1,0.857143,0.857143,4.03891,1
192,57,13,32,0,1,2,2,2,0,0,1,1,0,0,0,0,0,0,0,4.335377,0
193,37,15,11,0,1,1,3,0,0,0,0,0,1,1,1,0,1,0.952381,0.952381,3.928803,1
194,81,17,56,0,0,3,1,4,0,0,6,1,0,0,0,0,1,0.428571,0.428571,4.47023,0
195,37,11,1,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0.956522,0.956522,4.337435,1
196,37,22,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3.827848,1
197,66,20,34,0,1,1,2,5,0,0,6,1,0,0,0,0,0,0.5,0.5,4.457982,0
198,47,25,10,0,1,1,3,1,0,0,0,1,0,0,0,0,0,1,1,4.39439,1
199,67,18,20,20,0,2,2,1,0,0,16,1,0,0,0,0,0,0,0,4.552269,1
200,34,13,14,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4.020855,1
201,41,9,20,0,1,3,2,2,0,0,4,1,0,0,0,0,0,0.006068,0.006068,4.238667,0
202,39,9,22,0,0,3,2,0,0,0,0,1,0,0,0,0,1,0,0,4.089782,1
203,45,24,9,0,1,1,2,0,0,0,0,1,0,1,0,0,1,0.117647,0.117647,4.277871,0
204,33,12,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0.956522,0.956522,4.165014,1
205,27,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.004344,1
206,70,14,44,0,1,3,2,3,0,0,0,1,0,1,0,0,1,0.535211,0.535211,4.344856,0
207,42,19,11,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0.126984,0.126984,4.073649,0
208,43,17,14,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0.104348,0.104348,4.35942,0
209,27,8,11,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,3.856196,0
210,83,14,62,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,4.061046,1
211,69,19,38,0,1,2,2,1,0,0,1,1,1,1,1,0,0,0.134078,0.134078,4.512308,0
212,45,23,10,0,1,1,3,2,0,0,0,0,0,0,0,0,0,1,1,4.174426,1
213,25,10,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0.208791,0.208791,3.813661,0
214,138,14,47,52,1,5,5,5,0,0,21,1,0,0,0,0,0,0,0,4.893821,1
215,52,14,26,0,1,2,2,1,0,0,0,1,0,0,0,0,1,0.379888,0.379888,4.086049,0
216,44,11,1,0,1,0,2,2,0,0,4,0,0,0,0,0,0,0.956522,0.956522,4.492856,1
217,101,15,74,0,1,2,2,9,0,0,2,1,1,0,1,0,0,0.088608,0.088608,4.131673,0
218,33,20,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.4,0.4,4.066677,0
219,47,22,13,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0.066667,0.066667,4.248545,0
220,44,14,19,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,4.191831,0
221,21,8,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0.153285,0.153285,3.272804,0
222,77,14,55,0,0,3,3,4,0,0,6,1,0,0,0,0,0,0.185185,0.185185,4.436035,0
223,21,8,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0.388889,0.388889,3.558519,0
224,63,9,41,0,1,4,2,2,0,0,10,1,1,0,1,0,0,0.617021,0.617021,4.44415,0
225,26,17,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3.657385,1
226,61,19,30,0,1,2,2,1,0,1,2,1,0,1,0,0,0,0.138211,0.138211,4.288429,0
227,27,18,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,4.078419,1
228,113,10,76,13,1,5,2,0,0,0,9,1,1,0,1,0,1,0.75,0.75,5.407075,1
229,96,11,64,0,1,2,3,7,0,0,0,1,1,1,1,0,1,0.282675,0.282675,4.319368,0
230,86,17,57,0,1,2,2,8,0,1,1,1,0,1,0,0,1,0.107143,0.107143,4.597679,0
231,42,13,17,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0.306931,0.306931,3.871501,0
232,25,16,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.648936,0.648936,4.133661,0
233,50,11,27,0,1,1,2,2,0,0,0,1,1,1,1,0,0,0.219959,0.219959,4.238563,0
234,87,14,62,0,1,4,2,7,0,0,8,0,0,0,0,0,1,0.024896,0.024896,4.626748,0
235,55,7,36,0,1,3,3,2,0,0,6,1,1,0,1,0,1,0.033019,0.033019,4.395199,0
236,27,18,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.750465,1
237,91,17,62,0,1,3,2,6,0,0,0,1,1,1,1,0,1,0.140496,0.140496,4.301659,0
238,34,11,1,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0.956522,0.956522,4.197326,1
239,48,17,23,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,3.86822,0
240,56,11,10,0,3,1,5,2,0,0,6,0,1,1,1,0,1,0.424242,0.424242,4.28961,1
241,26,13,1,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0.010047,0.010047,3.767183,0
242,74,12,50,0,1,2,2,6,0,0,0,1,0,1,0,0,1,0.139706,0.139706,4.385782,0
243,62,15,40,0,0,4,4,2,0,0,12,0,0,0,0,1,0,1,1,4.500342,1
244,28,11,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.013699,0.013699,4.012188,0
245,55,17,26,0,1,1,2,3,0,0,0,1,1,0,1,0,1,0.675824,0.675824,4.176257,0
246,39,13,14,0,1,2,2,0,0,0,0,1,0,1,0,0,1,0.318352,0.318352,3.89144,0
247,52,12,33,0,0,4,1,1,0,0,0,0,1,0,1,0,0,0,0,4.089085,1
248,26,8,6,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0.191617,0.191617,3.719295,0
249,458,11,13,417,2,2,28,0,1,0,9,1,0,0,0,0,0,0,0,4.663844,1
250,24,11,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.305556,0.305556,3.573935,0
251,44,9,27,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,4.174674,1
252,48,12,24,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0.118774,0.118774,3.923533,0
253,36,11,1,11,1,0,2,0,0,0,0,1,0,0,0,0,0,0.061674,0.061674,4.440351,0
254,22,9,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0.5,0.5,3.754442,0
255,106,8,80,0,1,1,2,10,0,0,7,1,0,0,0,0,1,0.555556,0.555556,4.434703,0
256,64,8,39,0,1,5,3,2,0,0,4,1,0,0,0,0,0,0,0,3.991118,0
257,78,20,46,0,1,3,2,2,0,0,0,1,0,1,0,0,0,0.076271,0.076271,4.252617,0
258,34,21,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0.2,0.2,4.079679,0
259,67,21,34,0,1,3,2,4,0,0,7,1,0,0,0,0,1,0.264706,0.264706,4.47586,0
260,59,25,22,0,1,2,2,1,0,0,0,1,0,1,0,0,0,0.302632,0.302632,4.019704,0
261,79,20,47,0,1,5,3,0,0,0,5,0,0,0,0,0,1,0,0,4.46042,1
262,20,8,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3.584184,0
263,33,13,1,10,0,0,1,2,0,0,0,1,0,0,0,0,0,0.882353,0.882353,4.430313,1
264,34,16,10,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0.657895,0.657895,3.716016,0
265,23,14,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.094017,0.094017,3.882045,0
266,178,10,105,55,0,8,3,3,0,0,22,0,0,0,0,0,0,0,0,5.045875,1
267,70,16,42,0,1,1,2,6,0,0,7,1,0,1,0,0,0,0.213018,0.213018,4.612783,0
268,47,10,13,0,4,2,6,0,0,0,2,0,0,0,0,0,0,0,0,4.094393,1
269,44,17,20,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4.107524,1
270,39,23,8,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0.933333,0.933333,3.882093,1
