Model,Train_Set,Test_Set,Type,Accuracy,F1_Score,ROC_AUC,PR_AUC,Precision,Recall,Gen_Gap_AUC
FT-Transformer,C,C,Baseline (Common),0.920043026174256,0.8911664226451927,0.9781354412174834,0.9671597099518823,0.9175879396984925,0.8662239089184061,0.0
LogisticRegression,A,B,Cross-Dataset,0.6928258967629046,0.6599515738498789,0.7552711969621471,0.7952630579449464,0.7390455531453363,0.5961504811898513,0.19437780303785301
RandomForest,A,B,Cross-Dataset,0.6026246719160105,0.443791329904482,0.6957026106644806,0.6733022864207503,0.7392900856793145,0.31706036745406824,0.3022883893355195
FT-Transformer,A,B,Cross-Dataset,0.6533683289588801,0.5402645625435136,0.7461646340576631,0.7183643386369749,0.8019290389252497,0.4073490813648294,0.24833536594233685
LogisticRegression,A,C,Cross-Dataset,0.7270054147093628,0.6687263391497323,0.7953134451866026,0.761327387802974,0.6176848874598071,0.7289630964804098,0.15433555481339745
RandomForest,A,C,Cross-Dataset,0.7871768207408469,0.6708811623135363,0.8665560358588595,0.7928423275815891,0.8073945541911373,0.5738544730101508,0.13143496414114053
FT-Transformer,A,C,Cross-Dataset,0.80772402911751,0.7596377980993365,0.8788288132935218,0.8074071019536093,0.720064587405456,0.8038136799165164,0.11567118670647814
LogisticRegression,B,A,Cross-Dataset,0.6998,0.712562236690923,0.76893112,0.7402745928600383,0.6835047759000735,0.7442,0.10034735929769933
RandomForest,B,A,Cross-Dataset,0.6677,0.6597727040032764,0.72689208,0.708897757749113,0.6758967904342353,0.6444,0.22767675506359597
FT-Transformer,B,A,Cross-Dataset,0.7341,0.7489377773581343,0.79591984,0.7483657966307525,0.7093543194419603,0.7932,0.14163914622908347
LogisticRegression,B,C,Cross-Dataset,0.6972424427152437,0.6418359988122004,0.7599665733970891,0.7195513784194636,0.5804941682013505,0.7176738449862442,0.10931190590061024
RandomForest,B,C,Cross-Dataset,0.725463477606053,0.6672750977835724,0.8052501133396717,0.7262532545695191,0.6156869035207314,0.728299022863106,0.14931872172392435
FT-Transformer,B,C,Cross-Dataset,0.7120163517050956,0.6551590879814505,0.7997242854634711,0.7309918159484461,0.598446815186696,0.7237453752015938,0.13783470076561244
LogisticRegression,C,A,Cross-Dataset,0.6951,0.6310056880067773,0.8043389200000001,0.8020388635711742,0.7989580140974564,0.5214,0.12947380933083252
RandomForest,C,A,Cross-Dataset,0.6774,0.5411095305832148,0.82572018,0.8409202770935504,0.9369458128078818,0.3804,0.16178658713931826
FT-Transformer,C,A,Cross-Dataset,0.7778,0.7436548223350253,0.90520484,0.8941147818158992,0.878680479825518,0.6446,0.0729306012174834
LogisticRegression,C,B,Cross-Dataset,0.6916010498687664,0.6267076141056868,0.7319033043004358,0.7793064298288167,0.7937231759656652,0.5177602799650044,0.20190942503039677
RandomForest,C,B,Cross-Dataset,0.6747156605424321,0.6099454469156526,0.74330901550692,0.7549913212110093,0.7615928739848048,0.5086614173228347,0.24419775163239832
FT-Transformer,C,B,Cross-Dataset,0.7161854768153981,0.6928612005302026,0.7962858863989333,0.8120359034301559,0.7548999381060449,0.6402449693788277,0.18184955481855014
LogisticRegression,A+B,C,Merged,0.7481263671244666,0.6981002320983409,0.8316231422310578,0.788475062107103,0.6381925343811395,0.7704202637320937,0.0
RandomForest,A+B,C,Merged,0.8160791766773048,0.7435628218589071,0.8756382989394041,0.809079108228054,0.786046511627907,0.7054359168959302,0.0
FT-Transformer,A+B,C,Merged,0.7884318858249364,0.7526205450733753,0.8858440678009856,0.8326787391328442,0.6743556991509505,0.8514372450431648,0.0
LogisticRegression,A+C,B,Merged,0.6808398950131234,0.620158267388588,0.7354680818003612,0.7745845074777689,0.7657495500128568,0.521084864391951,0.0
RandomForest,A+C,B,Merged,0.6825896762904637,0.6106460613865636,0.7697632896500362,0.7574817674154419,0.7896197613100194,0.4978127734033246,0.0
FT-Transformer,A+C,B,Merged,0.6923884514435695,0.7006130790190735,0.781688990538475,0.7936266941470329,0.6823685519986731,0.7198600174978128,0.0
LogisticRegression,B+C,A,Merged,0.7386,0.7000229515721828,0.83362344,0.8329687349666627,0.8212170166935918,0.61,0.0
RandomForest,B+C,A,Merged,0.6912,0.5758241758241758,0.8316059600000001,0.8427893191438435,0.9192982456140351,0.4192,0.0
FT-Transformer,B+C,A,Merged,0.7434,0.6815586994291387,0.8949157200000001,0.8835047629640667,0.8979725310660562,0.5492,0.0
